site_id,site_name,rooftop_kw_dc,rooftop_kw_ac,rooftop_solar_mwp_potential,total_building_footprint_m2,usable_roof_area_m2,type_filter_excluded_m2,building_count_total,building_count_standard_roof,building_count_elongated,building_count_tank_silo,building_count_conveyor,building_count_residential,building_count_isolated_cluster,building_count_other_excluded,building_data_confidence,building_data_reason_flagged,building_data_source,building_data_vintage,polygon_source_tier
indonesia-morowali-industrial-park-imip,Indonesia Morowali Industrial Park (IMIP),75149.09,66131.2,75.1491,966798.4,751490.89,98677.43,1408,328,98,11,23,599,17.0,349,medium,,gob_v3,2023-05,osm_landuse_industrial
stardust-estate-invesment-sei,Stardust Estate Invesment (SEI),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,0,low,no_buildings_detected,,,none
industrial-weda-bay-industrial-park-iwip,Industrial Weda Bay Industrial Park (IWIP),0.0,0.0,0.0,152.67,0.0,152.67,3,0,0,0,0,0,0.0,3,medium,,gob_v3,2023-05,osm_landuse_industrial
buli-industrial-park,Buli Industrial Park,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,0,low,no_buildings_detected,,,osm_landuse_industrial
indonesia-konawe-industrial-park-ikip,Indonesia Konawe Industrial Park (IKIP),0.0,0.0,0.0,710.12,0.0,710.12,9,0,0,0,0,2,0.0,7,medium,,gob_v3,2023-05,none
inalum-asahan,Inalum Asahan,0.0,0.0,0.0,28491.5,0.0,28491.5,208,19,4,0,0,154,23.0,31,medium,,gob_v3,2026-02-23,claude_building_hull_estimate
freeport-smelter-gresik,Freeport Smelter Gresik,2777.34,2444.06,2.7773,76590.67,27773.44,36254.2,337,40,6,1,0,119,35.0,171,medium,,gob_v3,2023-05,osm_landuse_industrial
pupuk-kaltim-bontang,Pupuk Kaltim Bontang,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,0,low,no_buildings_detected,,,osm_landuse_industrial
pupuk-sriwidjaja-palembang,Pupuk Sriwidjaja Palembang,16739.47,14730.73,16.7395,214743.09,167394.7,26011.68,406,65,9,0,1,294,0.0,37,medium,,gob_v3,2026-02-23,claude_building_hull_estimate
petrokimia-gresik,Petrokimia Gresik,68503.63,60283.2,68.5036,873294.06,685036.31,131712.0,1679,347,38,0,5,1128,7.0,161,medium,,gob_v3,2023-05,osm_landuse_industrial
pupuk-kujang-cikampek,Pupuk Kujang Cikampek,10976.0,9658.88,10.976,226582.41,109760.02,108628.49,1074,132,6,0,0,915,0.0,21,medium,,gob_v3,2023-05,claude_building_hull_estimate
pupuk-iskandar-muda-lhokseumawe,Pupuk Iskandar Muda Lhokseumawe,190.84,167.94,0.1908,9482.29,1908.44,3120.83,6,0,0,2,0,0,0.0,4,medium,,gob_v3,2026-02-23,claude_building_hull_estimate
