site_id,wacc_pct,scenario,cf_wind_used,wind_speed_ms,connection_cost_per_kw,effective_capex_usd_per_kw,lcoe_usd_mwh,lcoe_low_usd_mwh,lcoe_high_usd_mwh,is_capex_provisional,tech_id,lifetime_yr
kek-sanur,6.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,68.45,55.17,89.11,False,TECH_WIND_ONSHORE,27
kek-sanur,8.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,79.45,63.4,104.41,False,TECH_WIND_ONSHORE,27
kek-sanur,10.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,91.19,72.19,120.73,False,TECH_WIND_ONSHORE,27
kek-sanur,12.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,103.51,81.42,137.87,False,TECH_WIND_ONSHORE,27
kek-sanur,14.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,116.28,90.98,155.63,False,TECH_WIND_ONSHORE,27
kek-sanur,16.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,129.38,100.79,173.86,False,TECH_WIND_ONSHORE,27
kek-sanur,18.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,142.74,110.79,192.43,False,TECH_WIND_ONSHORE,27
kek-sanur,20.0,grid_connected_solar,0.2928,7.96,96.0,1791.0,156.27,120.92,211.25,False,TECH_WIND_ONSHORE,27
kek-kendal,4.0,within_boundary,0.05,3.49,0.0,1650.0,322.02,259.1,419.89,False,TECH_WIND_ONSHORE,27
kek-kendal,6.0,within_boundary,0.05,3.49,0.0,1650.0,376.48,298.71,497.46,False,TECH_WIND_ONSHORE,27
kek-kendal,8.0,within_boundary,0.05,3.49,0.0,1650.0,435.82,341.87,581.97,False,TECH_WIND_ONSHORE,27
kek-kendal,10.0,within_boundary,0.05,3.49,0.0,1650.0,499.14,387.92,672.16,False,TECH_WIND_ONSHORE,27
kek-kendal,12.0,within_boundary,0.05,3.49,0.0,1650.0,565.62,436.27,766.84,False,TECH_WIND_ONSHORE,27
kek-kendal,14.0,within_boundary,0.05,3.49,0.0,1650.0,634.52,486.37,864.96,False,TECH_WIND_ONSHORE,27
kek-kendal,16.0,within_boundary,0.05,3.49,0.0,1650.0,705.23,537.8,965.67,False,TECH_WIND_ONSHORE,27
kek-kendal,18.0,within_boundary,0.05,3.49,0.0,1650.0,777.27,590.19,1068.27,False,TECH_WIND_ONSHORE,27
kek-kendal,20.0,within_boundary,0.05,3.49,0.0,1650.0,850.27,643.29,1172.25,False,TECH_WIND_ONSHORE,27
kek-kendal,4.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,60.63,49.48,77.97,False,TECH_WIND_ONSHORE,27
kek-kendal,6.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,71.12,57.34,92.56,False,TECH_WIND_ONSHORE,27
kek-kendal,8.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,82.55,65.91,108.45,False,TECH_WIND_ONSHORE,27
kek-kendal,10.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,94.76,75.05,125.41,False,TECH_WIND_ONSHORE,27
kek-kendal,12.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,107.56,84.64,143.21,False,TECH_WIND_ONSHORE,27
kek-kendal,14.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,120.84,94.59,161.67,False,TECH_WIND_ONSHORE,27
kek-kendal,16.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,134.46,104.8,180.61,False,TECH_WIND_ONSHORE,27
kek-kendal,18.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,148.34,115.19,199.9,False,TECH_WIND_ONSHORE,27
kek-kendal,20.0,grid_connected_solar,0.2822,7.74,99.2,1794.2,162.41,125.73,219.45,False,TECH_WIND_ONSHORE,27
kek-sorong,4.0,within_boundary,0.05,3.38,0.0,1650.0,322.02,259.1,419.89,False,TECH_WIND_ONSHORE,27
kek-sorong,6.0,within_boundary,0.05,3.38,0.0,1650.0,376.48,298.71,497.46,False,TECH_WIND_ONSHORE,27
kek-sorong,8.0,within_boundary,0.05,3.38,0.0,1650.0,435.82,341.87,581.97,False,TECH_WIND_ONSHORE,27
kek-sorong,10.0,within_boundary,0.05,3.38,0.0,1650.0,499.14,387.92,672.16,False,TECH_WIND_ONSHORE,27
kek-sorong,12.0,within_boundary,0.05,3.38,0.0,1650.0,565.62,436.27,766.84,False,TECH_WIND_ONSHORE,27
kek-sorong,14.0,within_boundary,0.05,3.38,0.0,1650.0,634.52,486.37,864.96,False,TECH_WIND_ONSHORE,27
kek-sorong,16.0,within_boundary,0.05,3.38,0.0,1650.0,705.23,537.8,965.67,False,TECH_WIND_ONSHORE,27
kek-sorong,18.0,within_boundary,0.05,3.38,0.0,1650.0,777.27,590.19,1068.27,False,TECH_WIND_ONSHORE,27
kek-sorong,20.0,within_boundary,0.05,3.38,0.0,1650.0,850.27,643.29,1172.25,False,TECH_WIND_ONSHORE,27
kek-sorong,4.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,72.59,59.22,93.39,False,TECH_WIND_ONSHORE,27
kek-sorong,6.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,85.15,68.62,110.85,False,TECH_WIND_ONSHORE,27
kek-sorong,8.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,98.83,78.86,129.88,False,TECH_WIND_ONSHORE,27
kek-sorong,10.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,113.43,89.79,150.19,False,TECH_WIND_ONSHORE,27
kek-sorong,12.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,128.75,101.27,171.51,False,TECH_WIND_ONSHORE,27
kek-sorong,14.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,144.64,113.16,193.6,False,TECH_WIND_ONSHORE,27
kek-sorong,16.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,160.94,125.36,216.28,False,TECH_WIND_ONSHORE,27
kek-sorong,18.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,177.55,137.79,239.38,False,TECH_WIND_ONSHORE,27
kek-sorong,20.0,grid_connected_solar,0.2353,6.46,95.2,1790.2,194.38,150.39,262.8,False,TECH_WIND_ONSHORE,27
kek-singhasari,4.0,within_boundary,0.05,3.16,0.0,1650.0,322.02,259.1,419.89,False,TECH_WIND_ONSHORE,27
