site_id,site_name,site_type,sector,primary_product,province,latitude,longitude,area_ha,zone_classification,category,status,legal_basis,developer,reliability_req,grid_region_id,capacity_annual,capacity_annual_tonnes,technology,parent_company,cbam_product_type,business_sectors,data_vintage
kek-morotai,Morotai,kek,mixed,,North Maluku,2.3750901219475,128.41811690865,1101.76,Pariwisata,Service,Active,Government Regulation no. 50 of 2014,Jababeka Group,0.6,MALUKU,,,,Jababeka Group,,Fishing Industry;Logistics;Tourism;Development and Management;Area Infrastructure Preparation,2026-04-17
kek-gresik,Gresik,kek,mixed,,East Java,-7.0854668845705,112.60680989557,2167.0,Industri,Manufacturing,Active,Peraturan Pemerintah nomor 71 tahun 2021,PT Berkah Kawasan Manyar Sejahtera,0.8,JAVA_BALI,,,,PT Berkah Kawasan Manyar Sejahtera,,Petrochemical Industry;Base Metal Industry;Electronic Industry;Digital Technology Industry;Energy;Logistics;Development and Management;Area Infrastructure Preparation;Import Substitution,2026-04-17
kek-likupang,Likupang,kek,mixed,,North Sulawesi,1.680721711081,125.15739596932,197.4,Pariwisata,Service,Active,PP 84 tahun 2019,PT Minahasa Permai Resort Development,0.4,SULAWESI,,,,PT Minahasa Permai Resort Development,,Development and Management;Area Infrastructure Preparation;Tourism,2026-04-17
kek-bitung,Bitung,kek,mixed,,North Sulawesi,1.4243289186209,125.10987982233,534.0,Industri,Manufacturing,Active,Government Regulation Number 32 of 2014,PT Membangun Sulut Hebat (MSH),0.8,SULAWESI,,,,PT Membangun Sulut Hebat (MSH),,Logistics;Fishing Industry;Area Infrastructure Preparation;Coconut Processing Industry;Development and Management,2026-04-17
kek-palu,Palu,kek,mixed,,Central Sulawesi,-0.71188721731303,119.8703393558,1500.0,Industri,Manufacturing,Active,Government Regulation Number 31 of 2014,PT Bangun Palu Sulawesi Tengah,0.8,SULAWESI,,,,PT Bangun Palu Sulawesi Tengah,,Logistics;Development and Management;Base Metal Industry;Area Infrastructure Preparation,2026-04-17
kek-kura-kura,Kura Kura Bali,kek,mixed,,Bali,-8.7312613066451,115.23086607725,498.0,Pariwisata,Service,Active,PP No 23 Tahun 2023,PT Bali Turtle Island Development,0.4,JAVA_BALI,,,,PT Bali Turtle Island Development,,Area Infrastructure Preparation;Tourism;Creative Industries;Development and Management,2026-04-17
kek-galang-batang,Galang Batang,kek,mixed,,Riau Islands,0.91112087616108,104.65970479459,2333.6,Industri,Processing,Active,PP 42 tahun 2017,PT GBKEK Industri Pengolahan,0.85,SUMATERA,,,,PT GBKEK Industri Pengolahan,,Bauxite Industry;Area Infrastructure Preparation;Logistics;Development and Management,2026-04-17
kek-maloy-batuta,Maloy Batuta Trans Kalimantan,kek,mixed,,East Kalimantan,0.81659915671314,117.93022440699,557.34,Industri,Manufacturing,Active,PP No 85 Tahun 2014,PT Maloy Batuta Trans Kalimantan,0.8,KALIMANTAN,,,,PT Maloy Batuta Trans Kalimantan,,Energy;Area Infrastructure Preparation;Logistics;Palm Oil Processing Industry;Wood Processing Industry;Development and Management,2026-04-17
kek-nongsa,Nongsa,kek,mixed,,Riau Islands,1.191175886339,104.09214803974,166.45,Pariwisata,Service,Active,PP no 68 Tahun 2021,PT Taman Resor Internet,0.6,SUMATERA,,,,PT Taman Resor Internet,,"Education;Digital Technology Industry;Development and Management;Tourism;Area Infrastructure Preparation;Creative Industries;Research, Digital Economy, and Technology Development",2026-04-17
kek-mandalika,Mandalika,kek,mixed,,West Nusa Tenggara,-8.8963124944653,116.29090641579,1035.67,Pariwisata,Service,Active,PP No 52 Tahun 2014,PT Pengembangan Pariwisata Indonesia,0.4,NTB,,,,PT Pengembangan Pariwisata Indonesia,,Development and Management;Area Infrastructure Preparation;Tourism,2026-04-17
kek-batam-aero-technic,Batam Aero Technic,kek,mixed,,Riau Islands,1.1393365211312,104.12432224421,30.0,Industri,Manufacturing,Active,PP No 67 tahun 2021,PT Batam Teknik (BAT),0.8,SUMATERA,,,,PT Batam Teknik (BAT),,MRO Industry;Logistics;Area Infrastructure Preparation;Education;Development and Management,2026-04-17
kek-tanjung-kelayang,Tanjung Kelayang,kek,mixed,,Bangka Belitung Islands,-2.5711927695212,107.65499155301,324.4,Pariwisata,Service,Active,PP No 6 Tahun 2016,Badan Usaha Pembangun dan Pengelola (BUPP) KEK Tanjung Kelayang,0.4,SUMATERA,,,,Badan Usaha Pembangun dan Pengelola (BUPP) KEK Tanjung Kelayang,,Development and Management;Area Infrastructure Preparation;Tourism,2026-04-17
kek-lido,Lido,kek,mixed,,West Java,-6.7536528309529,106.81210085326,1040.0,Pariwisata,Service,Active,PP no 69 tahun 2021,PT MNCLand Lido,0.4,JAVA_BALI,,,,PT MNCLand Lido,,Tourism;Development and Management;Area Infrastructure Preparation;Creative Industries,2026-04-17
kek-tanjung-lesung,Tanjung Lesung,kek,mixed,,Banten,-6.4817887185833,105.65248380886,1500.0,Pariwisata,Service,Active,KEK Tanjung Lesung,PT Banten West Java Tourism Development,0.4,JAVA_BALI,,,,PT Banten West Java Tourism Development,,Development and Management;Area Infrastructure Preparation;Tourism,2026-04-17
kek-sei-mangkei,Sei Mangkei,kek,mixed,,North Sumatra,3.1324879221829,99.340577853012,2002.77,Industri,Processing,Active,PP No 29 Tahun 2012,PT. Perkebunan Nusantara III,0.85,SUMATERA,,,,PT. Perkebunan Nusantara III,,Logistics;Tourism;Palm Oil Processing Industry;Rubber Industry;Development and Management;Area Infrastructure Preparation,2026-04-17
semen-gresik-tuban,Semen Gresik Tuban,standalone,cement,clinker,East Java,-6.87,112.04,,,,Active,,,0.9,JAVA_BALI,15.0 MTPA,15000000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
indocement-citeureup,Indocement Citeureup,standalone,cement,clinker,West Java,-6.479811,106.899118,,,,Active,,,0.9,JAVA_BALI,11.9 MTPA,11900000.0,Integrated,Indocement / Heidelberg,cement,,2026-04-17
semen-padang-indarung,Semen Padang Indarung,standalone,cement,clinker,West Sumatra,-0.947827,100.469967,,,,Active,,,0.9,SUMATERA,8.8 MTPA,8800000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
semen-tonasa,Semen Tonasa,standalone,cement,clinker,South Sulawesi,-4.789565,119.616409,,,,Active,,,0.9,SULAWESI,7.4 MTPA,7400000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
sbi-narogong,SBI Narogong,standalone,cement,clinker,West Java,-6.48,106.96,,,,Active,,,0.9,JAVA_BALI,6.06 MTPA,6060000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
conch-cement-serang,Conch Cement Serang,standalone,cement,clinker,Banten,-5.892955,106.082135,,,,Active,,,0.9,JAVA_BALI,4.4 MTPA,4400000.0,Grinding,Anhui Conch (China),cement,,2026-04-17
conch-cement-north-sulawesi,Conch Cement North Sulawesi,standalone,cement,clinker,North Sulawesi,0.895624,124.081963,,,,Active,,,0.9,SULAWESI,4.4 MTPA,4400000.0,Integrated,Anhui Conch (China),cement,,2026-04-17
semen-bosowa-maros,Semen Bosowa Maros,standalone,cement,clinker,South Sulawesi,-4.95,119.58,,,,Active,,,0.9,SULAWESI,4.2 MTPA,4200000.0,Integrated,Bosowa Corp,cement,,2026-04-17
red-lion-hongshi-tonga,Red Lion Hongshi Tonga,standalone,cement,clinker,East Kalimantan,0.988195,117.481986,,,,Active,,,0.9,KALIMANTAN,4.0 MTPA,4000000.0,Integrated,Hongshi (China),cement,,2026-04-17
semen-baturaja,Semen Baturaja,standalone,cement,clinker,South Sumatra,-4.116636,104.161351,,,,Active,,,0.9,SUMATERA,3.85 MTPA,3850000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
sbi-tuban,SBI Tuban,standalone,cement,clinker,East Java,-6.816488,111.885383,,,,Active,,,0.9,JAVA_BALI,3.73 MTPA,3730000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
indocement-palimanan,Indocement Palimanan,standalone,cement,clinker,West Java,-6.72,108.38,,,,Active,,,0.9,JAVA_BALI,3.62 MTPA,3620000.0,Integrated,Indocement / Heidelberg,cement,,2026-04-17
cemindo-gemilang-bayah,Cemindo Gemilang Bayah,standalone,cement,clinker,Banten,-6.954596,106.247008,,,,Active,,,0.9,JAVA_BALI,3.5 MTPA,3500000.0,Integrated,Cemindo Gemilang,cement,,2026-04-17
sbi-cilacap,SBI Cilacap,standalone,cement,clinker,Central Java,-7.687489,109.022305,,,,Active,,,0.9,JAVA_BALI,3.23 MTPA,3230000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
semen-imasco-asiatic-jember,Semen Imasco Asiatic Jember,standalone,cement,clinker,East Java,-8.348729,113.49255,,,,Active,,,0.9,JAVA_BALI,3.0 MTPA,3000000.0,Integrated,Hongshi (China),cement,,2026-04-17
si-gresik-rembang,SI Gresik Rembang,standalone,cement,clinker,Central Java,-6.866206,111.458833,,,,Active,,,0.9,JAVA_BALI,3.0 MTPA,3000000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
semeru-surya-semen-kutai,Semeru Surya Semen Kutai,standalone,cement,clinker,East Kalimantan,-0.541619,117.146701,,,,Active,,,0.9,KALIMANTAN,3.0 MTPA,3000000.0,Grinding,Semeru Surya Semen,cement,,2026-04-17
indocement-kotabaru-tarjun,Indocement Kotabaru Tarjun,standalone,cement,clinker,South Kalimantan,-3.271007,116.105835,,,,Active,,,0.9,KALIMANTAN,2.6 MTPA,2600000.0,Integrated,Indocement / Heidelberg,cement,,2026-04-17
semen-grobogan,Semen Grobogan,standalone,cement,clinker,Central Java,-7.089975,110.622539,,,,Active,,,0.9,JAVA_BALI,2.5 MTPA,2500000.0,Integrated,Indocement / Heidelberg,cement,,2026-04-17
semen-garuda-bekasi,Semen Garuda Bekasi,standalone,cement,clinker,West Java,-6.460507,107.212892,,,,Active,,,0.9,JAVA_BALI,2.5 MTPA,2500000.0,Integrated,Jui Shin Indonesia,cement,,2026-04-17
sbi-andalas-lhoknga,SBI Andalas Lhoknga,standalone,cement,clinker,Aceh,5.451139,95.246351,,,,Active,,,0.9,SUMATERA,1.84 MTPA,1840000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
semen-jawa-scg-sukabumi,Semen Jawa SCG Sukabumi,standalone,cement,clinker,West Java,-6.976314,106.861777,,,,Active,,,0.9,JAVA_BALI,1.8 MTPA,1800000.0,Integrated,Siam Cement Group,cement,,2026-04-17
semen-bosowa-banyuwangi,Semen Bosowa Banyuwangi,standalone,cement,clinker,East Java,-8.169003,114.391943,,,,Active,,,0.9,JAVA_BALI,1.8 MTPA,1800000.0,Grinding,Bosowa Corp,cement,,2026-04-17
cemindo-gemilang-ciwandan,Cemindo Gemilang Ciwandan,standalone,cement,clinker,Banten,-6.022556,105.960336,,,,Active,,,0.9,JAVA_BALI,1.75 MTPA,1750000.0,Grinding,Cemindo Gemilang,cement,,2026-04-17
conch-south-kalimantan,Conch South Kalimantan,standalone,cement,clinker,South Kalimantan,-2.05,115.42,,,,Active,,,0.9,KALIMANTAN,1.5 MTPA,1500000.0,Integrated,Anhui Conch (China),cement,,2026-04-17
cemindo-gemilang-batam,Cemindo Gemilang Batam,standalone,cement,clinker,Riau Islands,1.058643,104.135548,,,,Active,,,0.9,SUMATERA,1.2 MTPA,1200000.0,Grinding,Cemindo Gemilang,cement,,2026-04-17
semen-bosowa-batam,Semen Bosowa Batam,standalone,cement,clinker,Riau Islands,1.058782,104.136023,,,,Active,,,0.9,SUMATERA,1.2 MTPA,1200000.0,Grinding,Bosowa Corp,cement,,2026-04-17
semen-jakarta,Semen Jakarta,standalone,cement,clinker,Banten,-6.037574,105.985182,,,,Active,,,0.9,JAVA_BALI,1.0 MTPA,1000000.0,Grinding,Semen Jakarta,cement,,2026-04-17
semen-gresik-city,Semen Gresik City,standalone,cement,clinker,East Java,-7.170242,112.645549,,,,Active,,,0.9,JAVA_BALI,0.9 MTPA,900000.0,Grinding,Semen Indonesia Group,cement,,2026-04-17
solusi-bangun-cilegon,Solusi Bangun Cilegon,standalone,cement,clinker,Banten,-6.020475,105.958559,,,,Active,,,0.9,JAVA_BALI,0.6 MTPA,600000.0,Grinding,Semen Indonesia Group,cement,,2026-04-17
semen-kupang,Semen Kupang,standalone,cement,clinker,NTT,-10.194909,123.540076,,,,Active,,,0.9,NTB,0.5 MTPA,500000.0,Integrated,Semen Indonesia Group,cement,,2026-04-17
conch-west-kalimantan,Conch West Kalimantan,standalone,cement,clinker,West Kalimantan,0.032069,109.23757,,,,Active,,,0.9,KALIMANTAN,0.5 MTPA,500000.0,Grinding,Anhui Conch (China),cement,,2026-04-17
krakatau-steel-cilegon,Krakatau Steel Cilegon,standalone,steel,crude_steel,Banten,-6.007021,106.001766,,,,Active,,,0.9,JAVA_BALI,4000000 TPA,4000000.0,EAF,Krakatau Steel,iron_steel,,2026-04-17
krakatau-posco-cilegon,Krakatau Posco Cilegon,standalone,steel,crude_steel,Banten,-5.998661,105.99866,,,,Active,,,0.9,JAVA_BALI,3000000 TPA,3000000.0,BF-BOF,POSCO / Krakatau Steel,iron_steel,,2026-04-17
dexin-steel-morowali,Dexin Steel Morowali,standalone,steel,crude_steel,Central Sulawesi,-2.829514,122.174896,,,,Active,,,0.9,SULAWESI,7000000 TPA,7000000.0,BF-BOF,Delong Holdings (China),iron_steel,,2026-04-17
gunung-raja-paksi-bekasi,Gunung Raja Paksi Bekasi,standalone,steel,crude_steel,West Java,-6.282658,107.117683,,,,Active,,,0.9,JAVA_BALI,1820000 TPA,1820000.0,EAF,Gunung Raja Paksi,iron_steel,,2026-04-17
master-steel-jakarta,Master Steel Jakarta,standalone,steel,crude_steel,DKI Jakarta,-6.18421,106.920067,,,,Active,,,0.9,JAVA_BALI,2000000 TPA,2000000.0,EAF,Master Steel MFG,iron_steel,,2026-04-17
jakarta-prima-steel-industries,Jakarta Prima Steel Industries,standalone,steel,crude_steel,DKI Jakarta,-6.181643,106.932331,,,,Active,,,0.9,JAVA_BALI,900000 TPA,900000.0,EAF,Jakarta Prima Steel,iron_steel,,2026-04-17
ispat-indo-sidoarjo,Ispat Indo Sidoarjo,standalone,steel,crude_steel,East Java,-7.448,112.718,,,,Active,,,0.9,JAVA_BALI,700000 TPA,700000.0,EAF,ArcelorMittal,iron_steel,,2026-04-17
virtue-dragon-nickel-industrial-park-vdnip,Virtue Dragon Nickel Industrial Park (VDNIP),cluster,nickel,mixed_nickel,,-3.890235466,122.4379273,,,,Active,,,0.85,SULAWESI,2000000 TPA,2000000.0,Ferro Nickel,,iron_steel,,2026-04-17
bantaeng-industrial-park-bip,Bantaeng Industrial Park (BIP),cluster,nickel,mixed_nickel,,-5.581220134,120.0574004,,,,Active,,,0.85,SULAWESI,263300 TPA,263300.0,Ferro Nickel,,iron_steel,,2026-04-17
obi-island-industrial-park,Obi Island Industrial Park,cluster,nickel,mixed_nickel,,-1.532699668,127.4192247,,,,Active,,,0.85,MALUKU,1970000 TPA,1970000.0,Ferro Nickel,,iron_steel,,2026-04-17
indonesia-pomalaa-industry-park-ipip,Indonesia Pomalaa Industry Park (IPIP),cluster,nickel,mixed_nickel,,-4.291228621,121.5584167,,,,Active,,,0.85,SULAWESI,2227000 TPA,2227000.0,Ferro Nickel,,iron_steel,,2026-04-17
nusantara-industri-sejati,Nusantara Industri Sejati,cluster,nickel,mixed_nickel,,-3.835193078,122.4033594,,,,Active,,,0.85,SULAWESI,2000000 TPA,2000000.0,Ferro Nickel,,iron_steel,,2026-04-17
indonesia-morowali-industrial-park-imip,Indonesia Morowali Industrial Park (IMIP),cluster,nickel,mixed_nickel,,-2.831769936,122.1651827,,,,Active,,,0.85,SULAWESI,6014929 TPA,6014929.0,Nickel Pig Iron,,iron_steel,,2026-04-17
stardust-estate-invesment-sei,Stardust Estate Invesment (SEI),cluster,nickel,mixed_nickel,,-1.935932805,121.6115391,,,,Active,,,0.85,SULAWESI,,,Mixed RKEF/HPAL,,iron_steel,,2026-04-17
industrial-weda-bay-industrial-park-iwip,Industrial Weda Bay Industrial Park (IWIP),cluster,nickel,mixed_nickel,,0.4890843334,128.0476444,,,,Active,,,0.85,MALUKU,1741000 TPA,1741000.0,Nickel Pig Iron,,iron_steel,,2026-04-17
buli-industrial-park,Buli Industrial Park,cluster,nickel,mixed_nickel,,0.8408315536,128.2559372,,,,Active,,,0.85,MALUKU,40500 TPA,40500.0,Ferro Nickel,,iron_steel,,2026-04-17
indonesia-konawe-industrial-park-ikip,Indonesia Konawe Industrial Park (IKIP),cluster,nickel,mixed_nickel,,-3.016794486,121.8324283,,,,Active,,,0.85,SULAWESI,,,Mixed RKEF/HPAL,,iron_steel,,2026-04-17
inalum-asahan,Inalum Asahan,standalone,aluminium,primary_aluminium,North Sumatra,2.703,99.243,,,,Active,,,0.9,SUMATERA,250000 TPA,250000.0,Hall-Heroult,Indonesia Asahan Aluminium (Inalum),aluminium,,2026-04-17
freeport-smelter-gresik,Freeport Smelter Gresik,standalone,aluminium,copper_cathode,East Java,-7.161,112.654,,,,Active,,,0.9,JAVA_BALI,300000 TPA,300000.0,Flash Smelting,Freeport Indonesia / Inalum,aluminium,,2026-04-17
pupuk-kaltim-bontang,Pupuk Kaltim Bontang,standalone,fertilizer,urea,East Kalimantan,0.121,117.5,,,,Active,,,0.9,KALIMANTAN,2400000 TPA,2400000.0,Ammonia Synthesis,Pupuk Indonesia Group,fertilizer,,2026-04-17
pupuk-sriwidjaja-palembang,Pupuk Sriwidjaja Palembang,standalone,fertilizer,urea,South Sumatra,-2.99,104.757,,,,Active,,,0.9,SUMATERA,2000000 TPA,2000000.0,Ammonia Synthesis,Pupuk Indonesia Group,fertilizer,,2026-04-17
petrokimia-gresik,Petrokimia Gresik,standalone,fertilizer,urea,East Java,-7.151,112.651,,,,Active,,,0.9,JAVA_BALI,3400000 TPA,3400000.0,Ammonia Synthesis,Pupuk Indonesia Group,fertilizer,,2026-04-17
