site_id,site_name,latitude,longitude,pvout_daily_centroid,pvout_centroid,cf_centroid,pvout_daily_best_50km,pvout_best_50km,cf_best_50km,pvout_source,pvout_buildable_best_50km,buildable_area_ha,regional_groundmount_potential_mwp_50km,buildability_constraint,best_solar_site_lat,best_solar_site_lon,best_solar_site_dist_km,within_boundary_area_ha,within_boundary_capacity_mwp,pvout_within_boundary,within_boundary_source,solar_search_method,chosen_anchor_substation_name,solar_supply_share_pct,solar_delivered_share_pct
semen-gresik-tuban,Semen Gresik Tuban,-6.87,112.04,4.32,1576.8,0.18,4.453,1625.3,0.1855,GlobalSolarAtlas-v2,1614.6,1623.3,1082.2,land_cover,-6.80834,111.97232,10.14,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Tanjung Awar Awar,1.0,1.0
indocement-citeureup,Indocement Citeureup,-6.479811,106.899118,3.791,1383.7,0.158,4.02,1467.3,0.1675,GlobalSolarAtlas-v2,1377.5,4788.4,3192.3,land_cover,-6.5126,106.93457,5.35,0.0,0.0,,theoretical,substation_anchored,GI 150 kV Cibinong,0.629,1.0
semen-padang-indarung,Semen Padang Indarung,-0.947827,100.469967,3.677,1342.1,0.1532,4.024,1468.8,0.1677,GlobalSolarAtlas-v2,,0.0,0.0,land_cover,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
semen-tonasa,Semen Tonasa,-4.789565,119.616409,4.0,1460.0,0.1667,4.29,1565.8,0.1787,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
sbi-narogong,SBI Narogong,-6.48,106.96,3.839,1401.2,0.16,4.022,1468.0,0.1676,GlobalSolarAtlas-v2,1375.5,5215.9,3477.3,land_cover,-6.51418,106.93296,4.83,0.0,0.0,,theoretical,substation_anchored,GI 70 kV Semen Lama,0.4246,1.0
conch-cement-serang,Conch Cement Serang,-5.892955,106.082135,3.972,1449.8,0.1655,4.021,1467.7,0.1675,GlobalSolarAtlas-v2,1439.9,85.6,57.1,kawasan_hutan,-5.9813,106.10143,10.05,0.0,0.0,,theoretical,best_pvout_fallback,,0.22,1.0
conch-cement-north-sulawesi,Conch Cement North Sulawesi,0.895624,124.081963,4.215,1538.5,0.1756,4.419,1612.9,0.1841,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
semen-bosowa-maros,Semen Bosowa Maros,-4.95,119.58,4.128,1506.7,0.172,4.29,1565.8,0.1787,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
red-lion-hongshi-tonga,Red Lion Hongshi Tonga,0.988195,117.481986,3.559,1299.0,0.1483,3.879,1415.8,0.1616,GlobalSolarAtlas-v2,1379.7,17294.8,11529.9,kawasan_hutan,0.69152,117.7036,41.17,0.0,0.0,,theoretical,best_pvout_fallback,,1.0,1.0
semen-baturaja,Semen Baturaja,-4.116636,104.161351,3.833,1399.0,0.1597,3.957,1444.3,0.1649,GlobalSolarAtlas-v2,,0.0,0.0,kawasan_hutan,,,,0.0,0.0,,theoretical,best_pvout_fallback,,,
