project_name,project_type,latitude,longitude,capacity_tons,capacity_unit,cost_usd,status,province,shareholder,is_chinese_owned,esg_ecological,esg_social,kek_id,dist_to_kek_km
Aneka Tambang (Pomala),Ferro Nickel,-4.191074889,121.5980449,27000.0,ton,,Active,"Sulawesi Tenggara, Kolaka",Aneka Tambang:100,False,Water Pollution;Increased Vulnerability to the Climate Crisis,,,
Ceria Nugraha Indotama,Ferro Nickel,-3.891829324,121.333296,253000.0,ton,2200000000,Planned,"Sulawesi Tenggara, Kolaka Regency",Cherisha Sakmiwata:49;Derian Sakmiwata:51,False,Water Pollution;Increased Vulnerability to the Climate Crisis,,,
Artha Mining Industry,Nickel Pig Iron,-4.893923532,121.987383,,ton,78000000,Active,"Sulawesi Tenggara, Bombana Regency",Not found,False,Deforestation,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities",,
Cahaya Smelter Indonesia,Ferro Nickel,-2.853838931,122.1692205,150000.0,ton,,Active,"Sulawesi Tengah, Morowali Regency",Tsingshan:51; JPI:49,True,Water Pollution;Air Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,Poor Work Safety,,
Kolaka Nikel Indonesia (KNI),MHP,-4.231662575,121.5886674,2200000.0,ton,3840000000,Active,"Sulawesi Tenggara, Konawe Regency",Huayou:53; Vale: 30; Ford Motor Company: 17,True,,,,
Indonesia Tsingshan Stainless Steel (ITSS),Nickel Pig Iron,-2.830495994,122.1701676,60000.0,ton,,Active,"Sulawesi Selatan, Luwu Timur",Tsingshan Holding Group: 51; Ruipu Technology Group Co. Ltd:19; Tsing Billitons Industrial Group:10; IMIP:10; Luck Scenery International Limited:10,True,Air Pollution,Poor Work Safety,,
Dexin Steel Indonesia (DSI),Nickel Pig Iron,-2.830439519,122.1759062,120000.0,ton,,Active,"Sulawesi Tenggara, Kolaka",Delong Steel Singapore Projects Pte Ltd:45; Shanghai Decent Investment Group (Tsingshan):43; IMIP:12,True,,Poor Work Safety,,
Huayue Nickel Cobalt (HNC),MHP,-2.841342678,122.1838966,60000.0,ton,,Active,"Sulawesi Selatan, Luwu Timur",Huaqing Nickel & Cobalt:57; China Molybdenum Co. :30; Nickel Industries:10; Hualong and Long Sincere:3,True,Water Pollution;Air Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,Poor Work Safety,,
Yashi Indonesia Investment,Ferro Nickel,0.4791421204,127.9849961,300000.0,ton,,Active,"Maluku Utara, Halmahera Regency",Zhenshi; Shanghai Decent Investment Group (Tsingshan); Zhejian Huajun Investments,True,Water Pollution;Air Pollution;Deforestation;Biodiversity Loss,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities;Loss of Traditional Livelihoods;Poor Work Safety",,
Youshan Nickel Indonesia,Nickel Sulfate,0.4791421204,127.9849961,130000.0,ton,406790000,Active,"Maluku Utara, Halmahera Regency",Zhejiang Huayou Cobalt; Tsingshan; Chengtun Mining Group,True,Water Pollution;Air Pollution;Deforestation;Biodiversity Loss,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities;Loss of Traditional Livelihoods",,
CNGR/Rigqueza International,Nickel Matte,0.4791421204,127.9849961,120000.0,ton,1300000000,Planned,"Maluku Utara, Halmahera Regency",CNGR; Rigqueza International Pte Ltd,True,Deforestation;Biodiversity Loss,"Intimidation, Suppression, Criminalization of Local Communities",,
Huaxiang Refining Indonesia,Nickel Sulfate,0.5048930623,127.9232586,50000.0,ton,408000000,Planned,"North Maluku, Central Halmahera Regency",Zhejiang Huayou Cobalt; Strive Investment; Lindo Investment Pte Ltd,True,Deforestation;Biodiversity Loss,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities",,
POSCO,Nickel Matte,0.4954425286,127.9755977,52000.0,ton,441000000,Planned,"Maluku Utara, Halmahera Regency",Posco International Corporation:99; Posco International Singapore Pte. Ltd.:1,False,Biodiversity Loss,Land Grabbing,,
Hydrotech Metal Indonesia,MHP,-0.7134890695,119.8797473,,ton,,unknown,"Central Sulawesi, Tawaeli",Trinitan Green Energy Metals,False,,,kek-palu,1.1
Walsin Nickel Industrial Indonesia,Nickel Pig Iron,-2.857751603,122.1599559,300000.0,ton,,Active,"Sulawesi Tengah, Morowali",Walsin Lihwa:100,False,Water Pollution;Increased Vulnerability to the Climate Crisis,,,
Sunny Metal Industry,Ferro Nickel,0.4905829855,127.9701856,400000.0,ton,,unknown,"Maluku Utara, Halmahera Regency",Walsin Lihwa:50.1; Tsingshan:49.9,True,Water Pollution,,,
Teluk Metal Industry,Nickel Sulfate,-2.833153538,122.171116,60000.0,ton,1200000000,Active,"Sulawesi Tengah, Morowali",Perlux International Co Ltd & Green Source International Industrial Ltd:99.9; Green Source:0.1 (all likely Tsingshan),True,Water Pollution;Air Pollution;Soil Pollution;Deforestation,,,
Ocean Sky Metal Industry,Nickel Sulfate,-2.852149928,122.1579957,380000.0,ton,,Closed,"Sulawesi Tengah, Morowali",Not found,False,,Poor Work Safety,,
SBC Prime Metal,Ferro Nickel,-4.291827332,121.5736719,200000.0,ton,,Unknown,"Southeast Sulawesi, Kolaka",Not found,False,,,,
Mahkota Konaweeha,Nickel Pig Iron,-4.004641088,122.6366074,83000.0,ton,,Unknown,"Sulawesi Tengah, Kendari",Not found,False,,,,
Sambas Minerals Mining,Nickel Pig Iron,-4.44427658,122.3714086,12000.0,ton,,Active,"Sulawesi Tenggara, Konawe Regency",Not found,False,,Corruption & Illegal Activity,,
Genba Multi Mineral,Nickel Pig Iron,-2.156292629,121.4785713,500000.0,ton,,Active,"Sulawesi Tengah, Morowali",Genba Multi Mineral,False,,,,
Obi Nickel Cobalt,MHP,-1.533221764,127.4191959,65000.0,ton,,Active,"Maluku Utara, Halmahera Selatan Regency",Harita: 10; Lygend Resources: 90,True,Air Pollution,,,
Alchemist Metal Industry,Nickel Pig Iron,1.437839714,128.0072216,1600000.0,ton,255000000,active,"North Maluku, North Halmahera",Alchemist Metal Industry,False,Air Pollution,,,
Gebe Industry Nickel,MHP,-7.131986142,112.6129739,365000.0,ton,150000000,active,"East Java, Gresik",Dr A.D Chandara,False,,,kek-gresik,5.2
Andalan Metal Industry,Nickel Pig Iron,0.4984711885,127.9084719,150000.0,ton,,planned,"North Maluku, Central Halmahera",Zhejiang Huayou Cobalt:50.1; Zhongjing Holdings:49.9,True,,,,
Langit Metal Industry,Nickel Pig Iron,0.4422783869,128.3590353,300000.0,ton,,planned,"North Maluku, Central Halmahera",Not found,False,,Poor Work Safety,,
Infei Metal Industry,Nickel Pig Iron,0.5007722937,127.9253438,28000.0,ton,,active,"North Maluku, Central Halmahera",Harum Energy:99; Central Halmahera Holding Pte. Ltd:1,False,,Poor Work Safety,,
Kao Rahai Smelters,Nickel Pig Iron,0.7149537405,128.0006885,350000.0,ton,,planned,"North Maluku, East Halmahera",Not found,True,,Poor Work Safety,,
Jiu Long Metal Industry,Nickel Pig Iron,0.4993282314,127.9498798,200000.0,ton,,planned,"North Maluku, Central Halmahera",Not found,False,Water Pollution;Air Pollution;Deforestation;Increased Vulnerability to the Climate Crisis;Biodiversity Loss,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities;Poor Work Safety;Corruption & Illegal Activity",,
Angkasa Jaya Mulia,Nickel Sulfate,-3.781276931,115.4376455,140000.0,ton,,planned,"South Kalimantan, Tanah Bumbu Regency",Batulicin Enam Sembilan Group:100,False,,,,
Nadesico Nickel Industry,Ferro Nickel,-2.011486677,121.4306926,1800000.0,ton,,Active,"Central Sulawesi, North Morowali Regency",CNGR Advanced Material Co Ltd (CNGR); Jiangsu Delong Nickel Industry Co Ltd,True,,,,
Hengsheng New Energy Material,Nickel Sulfate,-5.566422024,120.0630943,13000.0,ton,,Planned,"South Sulawesi, Bantaeng Regency",Hainan Recycore New Energy Co.Ltd: 50; Huadi Invesment Group:20; Shengwei New Energy Pte. Ltd:15; Zoomwe Hongkong New Energy Technology Co.Ltd:15,True,Water Pollution;Air Pollution,,,
Dowstone Energy Material Indonesia,Nickel Matte,-5.571461182,120.071678,13300.0,ton,,Active,"South Sulawesi, Bantaeng Regency",Amir Jao:99; Joss Stefan Hideky:1,True,Water Pollution;Air Pollution,,,
Mitra Murni Perkasa,Nickel Matte,-1.096490726,116.8167262,27000.0,ton,416000000,Planned,"East Kalimantan, West Balikpapan",MMS Group Indonesia,False,Water Pollution,,,
Harita Prima Abadi Mineral,MHP,-2.357532401,110.7424797,278534.0,ton,10610000000,Planned,"West Kalimantan, Ketapang",Cita Mineral Investindo (Harita Group):100,False,Deforestation,Lack of Fair Compensation,,
Arthabumi Sentra Industri (ASI),Nickel Pig Iron,-3.04888,122.27055,72965.0,ton,,Active,"Sulawesi Tengah, Morowali",PT Transon Bumindo Resources:5;Qingdao Yunjia Electric Appliances:95,True,,,,
Bukit Smelter Indonesia (BSI),Nickel Pig Iron,-2.850061584,122.1676861,19000.0,ton,150000000,Active,"Sulawesi Tengah, Morowali Regency",JPI:28.4; Tsingshan:71.6,True,Water Pollution;Air Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,,
Fajar Bhakti Lintas Nusantara (FBLN),Nickel Pig Iron,-0.06928550932,129.3921925,363000.0,ton,174000000,Active,"Maluku Utara, Halmahera Tengah",Zhenshi Holding Group:majority; Dr A.D Chandara:minority,True,Water Pollution,Corruption & Illegal Activity,,
Sulawesi Mining Investment (SMI),Nickel Pig Iron,-2.8258,122.16181,300000.0,ton,636000000,Active,"Sulawesi Tengah, Morowali",Dingxin Group:66.25; Bintang Delapan:33.75,True,Water Pollution;Air Pollution;Soil Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,,,
Sulawesi Resources,Ferro Nickel,-2.68479,121.9101,152000.0,ton,,Active,"Sulawesi Tengah, Morowali",Solway Group,False,,,,
Sinar Deli Bantaeng,Nickel Pig Iron,-5.57875,120.06688,30000.0,ton,123000000,Planned,"Sulawesi Selatan, Kab. Bantaeng",Sinar Deli Bantaeng,False,Water Pollution;Air Pollution,,,
CNI Kolaka,MHP,-3.840911701,121.259962,120000.0,ton,4290000000,Planned,"Sulawesi Tenggara, Kolaka Regency",Halim:20;Herman Suparman:30;Husmaluddin:10;Ismail Nushar:10;Matthew Giyan Prasasta:10;Tasman:20,False,Water Pollution;Air Pollution,,,
Mapan Asri Sejahtera,Nickel Pig Iron,-4.268724894,121.566712,84000.0,ton,,Planned,"Sulawesi Tenggara, Kolaka Regency",Evie Setiawati:30;Wang Xiaodong:70,True,,,,
Sonic Bay,MHP,0.487209681,127.9372515,67000.0,ton,2200000,Planned,"Maluku Utara, Halmahera Regency",Eramet; BASF,False,Water Pollution;Air Pollution;Deforestation;Biodiversity Loss,"Land Grabbing;Intimidation, Suppression, Criminalization of Local Communities;Loss of Traditional Livelihoods",,
Huake Nickel Indonesia,Nickel Matte,0.4791421204,127.9849961,45000.0,ton,,Active,"Maluku Utara, Halmahera Regency",Huayou:70; Tsingshan:30,True,,"Intimidation, Suppression, Criminalization of Local Communities;Poor Work Safety",,
Zhao Hui Nickel,Nickel Pig Iron,-2.859720846,122.1551157,50000.0,ton,,unknown,"Sulawesi Tengah, Morowali",Merdeka Copper:50.1,False,Water Pollution;Air Pollution;Deforestation;Increased Vulnerability to the Climate Crisis,Poor Work Safety,,
Surya Saga Utama,Ferro Nickel,-5.120884733,121.8864666,300000.0,ton,300000000,Active,"Southeast Sulawesi, Bombana Regency",Not found,False,,,,
Lipe Metal Industry,Nickel Pig Iron,0.4793418705,128.0075572,300000.0,ton,,Active,"North Maluku, Central Halmahera",Not found,False,,Poor Work Safety,,
Mazinger Nickel Industry,Nickel Pig Iron,-1.99945062,121.4345651,240000.0,ton,,planned,"Sulawesi Tengah, Morowali Utara",Not found,False,,,,
Kolaka Nickel Industry,MSP,-4.23098632,121.585017,40000.0,ton,,planned,"Sulawesi Tenggara, Kolaka",Not found,False,,,,
Angkasa Jaya Mulia,Ferro Nickel,-3.781276931,115.4376455,63000.0,ton,,planned,"South Kalimantan, Tanah Bumbu Regency",Batulicin Enam Sembilan Group:100,False,,,,
Unity Nickel-Alloy Indonesia,Ferro Nickel,-5.578998148,120.0677052,200000.0,ton,,Planned,"South Sulawesi, Bantaeng Regency",Huadi Invesment Group:40; Wang Jueqin:15; Li Guangda:15; Zhang Lei:15; Zheng Xuanwei:15,True,Water Pollution;Air Pollution,,,
Integra Mining Nusantara,Nickel Pig Iron,-4.436525866,122.4896426,285220.0,ton,,Active,"Southeast Sulawesi, South Konawe",Not found,False,Water Pollution,Corruption & Illegal Activity,,
ANTAM Niterra Haltim (Indonesia),Ferro Nickel,0.8420263563,128.2563474,27000.0,ton,320000000,Active,"Maluku Utara, Halmahera Timur",Aneka Tambang:30; Ocean Energy Nickel International Pte. Ltd;  :70,False,Air Pollution;Soil Pollution,,,
CBL Investment Indonesia - HPAL,MHP,0.8448542774,128.2665241,,ton,1300000000,Planned,"Maluku Utara, Halmahera Timur",Antam:30;HKCBL:70,True,,,,
Growth Java Industry (GJI),Nickel Pig Iron,-6.027816177,105.9600756,500000.0,ton,100000000,Active,"Banten, Cilegon Regency",Not found,False,Soil Pollution,,,
Halmahera Persada Lygend - MHP,MHP,-1.539017131,127.4179665,96000.0,ton,1000000000,Active,"Maluku Utara, Halmahera Selatan",Kang Xuan Pte Ltd:18;Lygend Resources Technology Co. Ltd:36.9;PT Trimegah Bangun Persada Tbk:45.1,True,Air Pollution,"Intimidation, Suppression, Criminalization of Local Communities",,
IFISHDECO/Bintang Smelter Indonesia,Ferro Nickel,-4.404599824,122.1969098,204000.0,ton,23000000,Active,"Sulawesi Tenggara, Halmahera Selatan",PT Fajar Mining Resources:40.8;PT Wahana Trinitas Mining:39.2;Public(each below 5%):20,False,,,,
Teka Mining Resources,Nickel Pig Iron,0.4624456672,127.9225897,900000.0,ton,1200000000,Active,"Maluku Utara, Halmahera Tengah",Tekindo Mining Lestari: 50; Fujian Wugang Group: 50,True,,,,
