site_id,site_name,nearest_substation_name,nearest_substation_voltage_kv,nearest_substation_capacity_mva,nearest_substation_capacity_source,nearest_substation_regpln,dist_to_nearest_substation_km,has_internal_substation,siting_scenario,dist_solar_to_nearest_substation_km,nearest_substation_to_solar_name,nearest_substation_to_solar_regpln,grid_integration_category,same_grid_region,line_connected,inter_substation_connected,inter_substation_dist_km,available_capacity_mva,capacity_assessment,substation_utilization_pct_effective,ruptl_project_type,ruptl_strongest_status,ruptl_earliest_target_year,ruptl_mva_added_total,ruptl_match_confidence,solar_search_method,chosen_anchor_substation_name,solar_supply_share_pct,solar_delivered_share_pct,project_scale_solar_mwp
sbi-tuban,SBI Tuban,GI 150 kV Mliwang - KTT Holcim 1,150 kV,12.0,actual,Jawa-Bali,0.75,False,remote_captive,3.91,GI 150 kV Mliwang,Jawa-Bali,grid_first,True,True,True,0.04,4.2,red,0.65,,,,,,substation_anchored,GI 150 kV Mliwang - KTT Holcim 1,1.0,1.0,78.06
indocement-palimanan,Indocement Palimanan,GI 150 kV Arjawinangun Baru (120 MVA No.1 dan 2),150 kV,120.0,actual,Jawa-Bali,6.28,False,remote_captive,6.86,GI 150 kV Arjawinangun Baru (120 MVA No.1 dan 2),Jawa-Bali,invest_substation,True,,True,,30.0,red,0.75,extension,rencana,2033.0,60.0,high,substation_anchored,GI 150 kV Arjawinangun Baru (120 MVA No.1 dan 2),0.417,0.416,82.0
cemindo-gemilang-bayah,Cemindo Gemilang Bayah,GI 150 kV Bayah 1,150 kV,60.0,proxy_150kV,Jawa-Bali,1.14,False,remote_captive,6.8,GI 150 kV Bayah,Jawa-Bali,invest_substation,True,True,True,0.04,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV Bayah 1,0.4206,0.4053,81.24
sbi-cilacap,SBI Cilacap,GI 150 kV Semen Nusantara 1,150 KV,18.0,actual,Jawa-Bali,0.39,False,remote_captive,2.8,GI 150 kV Lomanis,Jawa-Bali,grid_first,True,True,True,2.26,2.7,red,0.85,uprate,rencana,2028.0,0.0,high,substation_anchored,GI 150 kV Semen Nusantara 1,0.4857,0.484,70.25
semen-imasco-asiatic-jember,Semen Imasco Asiatic Jember,GI 150 kV Puger (60 MVA),150 kV,60.0,actual,Jawa-Bali,0.67,False,remote_captive,18.09,GI 150 kV Lumajang,Jawa-Bali,invest_substation,True,False,True,39.07,21.0,red,0.65,,,,,,best_pvout_fallback,,1.0,1.0,61.86
si-gresik-rembang,SI Gresik Rembang,GI 150 kV Semen Indonesia,150 kV,3.0,actual,Jawa-Bali,0.52,False,remote_captive,7.17,GI 150 kV Semen Indonesia,Jawa-Bali,grid_first,True,,True,,1.0,red,0.65,,,,,,substation_anchored,GI 150 kV Semen Indonesia,1.0,1.0,68.37
semeru-surya-semen-kutai,Semeru Surya Semen Kutai,GI 150 kV Harapan Baru - Tengkawang 2,150 kV,9.0,actual,Kalimantan,4.49,False,remote_captive,1.48,GI 150 kV Harapan Baru,Kalimantan,grid_first,True,True,True,0.01,3.1,red,0.65,,,,,,substation_anchored,GI 150 kV Harapan Baru - Tengkawang 2,1.0,1.0,79.81
indocement-kotabaru-tarjun,Indocement Kotabaru Tarjun,GI 150 kV Pulau Laut  2,150 kV,2.5,actual,Kalimantan,8.12,False,remote_captive,2.76,GI 150 kV Batulicin 1,Kalimantan,grid_first,True,True,True,29.84,0.9,red,0.65,,,,,,substation_anchored,GI 150 kV Batulicin,1.0,1.0,64.31
semen-grobogan,Semen Grobogan,GI 150 kV Semen Grobogan - SGB (KKTT),150 kV,60.0,proxy_150kV,Jawa-Bali,0.58,False,remote_captive,8.29,GI 150 kV Semen Grobogan - SGB (KKTT),Jawa-Bali,invest_substation,True,,True,,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV Semen Grobogan - SGB (KKTT),1.0,1.0,53.97
semen-garuda-bekasi,Semen Garuda Bekasi,GI 150 kV Juishin,150 kV,60.0,proxy_150kV,Jawa-Bali,0.88,False,remote_captive,2.16,GI 150 kV THK (Trans Heksa Karawang) Taman Mekar (120 MVA No.1 dan 2),Jawa-Bali,invest_substation,True,False,True,7.61,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV Juishin,1.0,1.0,58.64
sbi-andalas-lhoknga,SBI Andalas Lhoknga,GI 150 kV Banda Aceh,150 kV,18.0,actual,Sumatera,12.69,False,remote_captive,,,,grid_first,False,,,,4.5,unknown,0.75,extension,rencana,2026.0,0.0,high,,,,,
semen-jawa-scg-sukabumi,Semen Jawa SCG Sukabumi,GI 150 kV Semen Jawa,150 kV,60.0,proxy_150kV,Jawa-Bali,0.4,False,remote_captive,4.54,GI 150 kV Semen Jawa,Jawa-Bali,invest_substation,True,,True,,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV Semen Jawa,1.0,1.0,43.36
semen-bosowa-banyuwangi,Semen Bosowa Banyuwangi,GI 150 kV Banyuwangi,150 kV,3.0,actual,Jawa-Bali,4.45,False,remote_captive,5.83,GI 150 kV Banyuwangi,Jawa-Bali,grid_first,True,,True,,0.5,red,0.85,uprate,konstruksi,2025.0,120.0,high,substation_anchored,GI 150 kV Banyuwangi,0.4633,0.4095,36.77
cemindo-gemilang-ciwandan,Cemindo Gemilang Ciwandan,GI 150 kV Polyprima,150 kV,60.0,proxy_150kV,Jawa-Bali,1.09,False,remote_captive,0.47,GI 150 kV Mitsui,Jawa-Bali,invest_substation,True,True,True,7.13,18.0,red,0.7,,,,,,substation_anchored,GI 150 kV Polyprima,0.8204,0.8267,41.72
conch-south-kalimantan,Conch South Kalimantan,GI 150 kV Tanjung 1,150 kV,12.0,actual,Kalimantan,16.48,False,remote_captive,4.85,GI 70 kV Wisesa,Kalimantan,grid_first,True,True,True,0.17,4.2,red,0.65,,,,,,substation_anchored,GI 150 kV Tanjung 1,1.0,1.0,37.87
cemindo-gemilang-batam,Cemindo Gemilang Batam,GI 150 kV Tg. Kasam,150 kV,60.0,actual,Sumatera,0.49,False,remote_captive,4.47,GI 150 kV Batu Besar,Sumatera,invest_substation,True,True,True,6.68,21.0,yellow,0.65,,,,,,substation_anchored,GI 150 kV Tg. Kasam,1.0,1.0,30.26
semen-bosowa-batam,Semen Bosowa Batam,GI 150 kV Tg. Kasam,150 kV,60.0,actual,Sumatera,0.51,False,remote_captive,4.08,GI 150 kV Batu Besar,Sumatera,invest_substation,True,True,True,6.68,21.0,yellow,0.65,,,,,,substation_anchored,GI 150 kV Tg. Kasam,1.0,1.0,30.26
semen-jakarta,Semen Jakarta,GI 150 kV Indoferro,150 kV,60.0,proxy_150kV,Jawa-Bali,2.54,False,remote_captive,3.09,GI 150 kV Cilegon Lama,Jawa-Bali,invest_substation,True,True,True,8.83,18.0,yellow,0.7,,,,,,substation_anchored,GI 150 kV Alindo,1.0,1.0,24.23
semen-gresik-city,Semen Gresik City,GI 70 kV Semengresik,70 kV,20.0,proxy_70kV,Jawa-Bali,0.3,False,remote_captive,0.9,GI 150 kV PLTU Gresik,Jawa-Bali,grid_first,True,True,True,1.86,6.0,red,0.7,,,,,,substation_anchored,GI 70 kV Semengresik,1.0,1.0,19.05
solusi-bangun-cilegon,Solusi Bangun Cilegon,GI 150 kV Polyprima,150 kV,60.0,proxy_150kV,Jawa-Bali,0.98,False,remote_captive,0.21,GI 150 kV Mitsui,Jawa-Bali,grid_ready,True,True,True,7.13,18.0,green,0.7,,,,,,substation_anchored,GI 150 kV Polyprima,1.0,1.0,14.31
semen-kupang,Semen Kupang,GI 70 kV Bolok,70 kV,30.0,actual,Nusa Tenggara,7.27,False,remote_captive,,,,invest_substation,False,,,,7.5,unknown,0.75,extension,committed,2025.0,60.0,high,,,,,
conch-west-kalimantan,Conch West Kalimantan,GI 150 kV Parit Baru,150 kV,60.0,actual,Kalimantan,4.67,False,remote_captive,9.19,GI 150 kV Parit Baru,Kalimantan,invest_substation,True,,True,,21.0,green,0.65,,,,,,substation_anchored,GI 150 kV Parit Baru,1.0,1.0,12.11
