site_id,wacc_pct,scenario,pvout_used,cf_used,connection_cost_per_kw,transmission_cost_per_kw,substation_upgrade_cost_per_kw,effective_capex_usd_per_kw,lcoe_usd_mwh,lcoe_low_usd_mwh,lcoe_high_usd_mwh,is_cf_provisional,is_capex_provisional,tech_id,lifetime_yr
tanjung-sauh,6.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,65.54,57.49,98.95,True,False,TECH006,27
tanjung-sauh,8.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,77.9,68.18,118.27,True,False,TECH006,27
tanjung-sauh,10.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,91.09,79.59,138.88,True,False,TECH006,27
tanjung-sauh,12.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,104.94,91.56,160.52,True,False,TECH006,27
tanjung-sauh,14.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,119.29,103.97,182.95,True,False,TECH006,27
tanjung-sauh,16.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,134.02,116.7,205.96,True,False,TECH006,27
tanjung-sauh,18.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,149.03,129.68,229.41,True,False,TECH006,27
tanjung-sauh,20.0,within_boundary,pvout_centroid,0.1497,0.0,0.0,0.0,960.0,164.24,142.83,253.18,True,False,TECH006,27
tanjung-sauh,4.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,70.06,63.74,96.29,False,False,TECH006,27
tanjung-sauh,6.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,85.19,77.38,117.62,False,False,TECH006,27
tanjung-sauh,8.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,101.68,92.25,140.86,False,False,TECH006,27
tanjung-sauh,10.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,119.28,108.11,165.66,False,False,TECH006,27
tanjung-sauh,12.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,137.75,124.76,191.69,False,False,TECH006,27
tanjung-sauh,14.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,156.89,142.02,218.67,False,False,TECH006,27
tanjung-sauh,16.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,176.54,159.74,246.36,False,False,TECH006,27
tanjung-sauh,18.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,196.56,177.78,274.58,False,False,TECH006,27
tanjung-sauh,20.0,grid_connected_solar,pvout_buildable_best_50km,0.1543,234.6,0.0,79.8,1319.4,216.85,196.07,303.17,False,False,TECH006,27
kek-arun-lhokseumawe,4.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,50.25,44.21,75.32,True,False,TECH006,27
kek-arun-lhokseumawe,6.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,60.77,53.31,91.76,True,False,TECH006,27
kek-arun-lhokseumawe,8.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,72.23,63.22,109.67,True,False,TECH006,27
kek-arun-lhokseumawe,10.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,84.47,73.8,128.78,True,False,TECH006,27
kek-arun-lhokseumawe,12.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,97.31,84.9,148.84,True,False,TECH006,27
kek-arun-lhokseumawe,14.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,110.62,96.41,169.64,True,False,TECH006,27
kek-arun-lhokseumawe,16.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,124.27,108.22,190.98,True,False,TECH006,27
kek-arun-lhokseumawe,18.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,138.19,120.25,212.73,True,False,TECH006,27
kek-arun-lhokseumawe,20.0,within_boundary,pvout_centroid,0.1615,0.0,0.0,0.0,960.0,152.29,132.44,234.76,True,False,TECH006,27
kek-arun-lhokseumawe,4.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,55.25,49.37,79.68,True,False,TECH006,27
kek-arun-lhokseumawe,6.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,66.99,59.72,97.18,True,False,TECH006,27
kek-arun-lhokseumawe,8.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,79.78,71.0,116.25,True,False,TECH006,27
kek-arun-lhokseumawe,10.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,93.43,83.03,136.6,True,False,TECH006,27
kek-arun-lhokseumawe,12.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,107.75,95.66,157.96,True,False,TECH006,27
kek-arun-lhokseumawe,14.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,122.6,108.75,180.11,True,False,TECH006,27
kek-arun-lhokseumawe,16.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,137.84,122.19,202.83,True,False,TECH006,27
kek-arun-lhokseumawe,18.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,153.36,135.88,225.98,True,False,TECH006,27
kek-arun-lhokseumawe,20.0,grid_connected_solar,pvout_best_50km,0.1658,85.6,0.0,8.6,1099.2,169.09,149.75,249.44,True,False,TECH006,27
kek-sanur,4.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,42.51,37.4,63.71,True,False,TECH006,27
kek-sanur,6.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,51.41,45.1,77.62,True,False,TECH006,27
kek-sanur,8.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,61.1,53.48,92.77,True,False,TECH006,27
kek-sanur,10.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,71.45,62.43,108.94,True,False,TECH006,27
kek-sanur,12.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,82.31,71.82,125.91,True,False,TECH006,27
kek-sanur,14.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,93.57,81.55,143.5,True,False,TECH006,27
kek-sanur,16.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,105.13,91.54,161.55,True,False,TECH006,27
kek-sanur,18.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,116.9,101.72,179.95,True,False,TECH006,27
kek-sanur,20.0,within_boundary,pvout_centroid,0.1909,0.0,0.0,0.0,960.0,128.83,112.03,198.59,True,False,TECH006,27
kek-sanur,4.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,58.68,53.41,80.59,False,False,TECH006,27
kek-sanur,6.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,71.36,64.84,98.45,False,False,TECH006,27
kek-sanur,8.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,85.18,77.3,117.9,False,False,TECH006,27
kek-sanur,10.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,99.92,90.6,138.66,False,False,TECH006,27
kek-sanur,12.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,115.4,104.56,160.45,False,False,TECH006,27
kek-sanur,14.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,131.44,119.02,183.04,False,False,TECH006,27
kek-sanur,16.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,147.91,133.87,206.22,False,False,TECH006,27
kek-sanur,18.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,164.68,148.99,229.83,False,False,TECH006,27
kek-sanur,20.0,grid_connected_solar,pvout_buildable_best_50km,0.1847,247.5,0.0,71.2,1323.7,181.68,164.32,253.76,False,False,TECH006,27
kek-kendal,4.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,45.54,40.07,68.25,False,False,TECH006,27
kek-kendal,6.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,55.07,48.31,83.15,False,False,TECH006,27
kek-kendal,8.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,65.46,57.29,99.38,False,False,TECH006,27
kek-kendal,10.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,76.54,66.88,116.7,False,False,TECH006,27
kek-kendal,12.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,88.18,76.94,134.89,False,False,TECH006,27
kek-kendal,14.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,100.24,87.37,153.73,False,False,TECH006,27
kek-kendal,16.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,112.62,98.07,173.07,False,False,TECH006,27
kek-kendal,18.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,125.23,108.97,192.78,False,False,TECH006,27
kek-kendal,20.0,within_boundary,pvout_within_boundary,0.1782,0.0,0.0,0.0,960.0,138.01,120.02,212.75,False,False,TECH006,27
