site_id,site_name,latitude,longitude,wind_speed_centroid_ms,wind_speed_best_50km_ms,cf_wind_centroid,cf_wind_best_50km,wind_class,wind_source,wind_buildable_area_ha,max_wind_capacity_mwp,wind_buildability_constraint,wind_speed_buildable_best_ms,cf_wind_buildable_best,best_wind_site_lat,best_wind_site_lon,best_wind_site_dist_km
dexin-steel-morowali,Dexin Steel Morowali,-2.829514,122.174896,2.46,4.72,0.0,0.1305,III,GlobalWindAtlas-v3,19426.1,777.0,unconstrained,3.3,0.05,-3.14289,122.49604,49.86
gunung-raja-paksi-bekasi,Gunung Raja Paksi Bekasi,-6.282658,107.117683,3.15,5.64,0.05,0.1945,III,GlobalWindAtlas-v3,167410.4,6696.4,unconstrained,4.18,0.0928,-6.02101,107.36166,39.67
master-steel-jakarta,Master Steel Jakarta,-6.18421,106.920067,3.47,5.64,0.05,0.1945,III,GlobalWindAtlas-v3,105923.9,4237.0,unconstrained,4.16,0.0913,-5.96423,107.08913,30.79
jakarta-prima-steel-industries,Jakarta Prima Steel Industries,-6.181643,106.932331,3.42,5.64,0.05,0.1945,III,GlobalWindAtlas-v3,106780.0,4271.2,unconstrained,4.16,0.0913,-5.97,107.09306,29.49
ispat-indo-sidoarjo,Ispat Indo Sidoarjo,-7.448,112.718,3.12,5.44,0.05,0.1811,III,GlobalWindAtlas-v3,168195.6,6727.8,unconstrained,4.59,0.1215,-7.22802,113.10254,48.96
virtue-dragon-nickel-industrial-park-vdnip,Virtue Dragon Nickel Industrial Park (VDNIP),-3.890235466,122.4379273,2.56,4.81,0.0,0.137,III,GlobalWindAtlas-v3,193878.6,7755.1,unconstrained,3.92,0.0738,-4.04527,122.85858,49.74
bantaeng-industrial-park-bip,Bantaeng Industrial Park (BIP),-5.581220134,120.0574004,5.44,9.62,0.1805,0.365,I,GlobalWindAtlas-v3,522399.5,20896.0,unconstrained,7.62,0.276,-5.71959,119.67694,44.82
obi-island-industrial-park,Obi Island Industrial Park,-1.532699668,127.4192247,3.67,7.12,0.0537,0.2574,III,GlobalWindAtlas-v3,502676.2,20107.0,unconstrained,4.4,0.1083,-1.87107,127.12408,49.92
indonesia-pomalaa-industry-park-ipip,Indonesia Pomalaa Industry Park (IPIP),-4.291228621,121.5584167,2.31,6.52,0.0,0.2372,III,GlobalWindAtlas-v3,254799.7,10192.0,unconstrained,4.51,0.1155,-3.92958,121.66217,41.83
nusantara-industri-sejati,Nusantara Industri Sejati,-3.835193078,122.4033594,2.11,5.3,0.0,0.1711,III,GlobalWindAtlas-v3,184188.1,7367.5,unconstrained,3.69,0.0548,-3.98189,122.82404,49.44
indonesia-morowali-industrial-park-imip,Indonesia Morowali Industrial Park (IMIP),-2.831769936,122.1651827,2.29,4.72,0.0,0.1305,III,GlobalWindAtlas-v3,17878.9,715.2,unconstrained,3.29,0.05,-3.14514,122.48632,49.86
stardust-estate-invesment-sei,Stardust Estate Invesment (SEI),-1.935932805,121.6115391,1.96,5.38,0.0,0.1765,III,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
industrial-weda-bay-industrial-park-iwip,Industrial Weda Bay Industrial Park (IWIP),0.4890843334,128.0476444,1.51,5.47,0.0,0.1828,III,GlobalWindAtlas-v3,258.2,10.3,unconstrained,3.13,0.05,0.08404,128.23598,49.67
buli-industrial-park,Buli Industrial Park,0.8408315536,128.2559372,1.53,5.73,0.0,0.2008,III,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
indonesia-konawe-industrial-park-ikip,Indonesia Konawe Industrial Park (IKIP),-3.016794486,121.8324283,1.89,4.72,0.0,0.1305,III,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
inalum-asahan,Inalum Asahan,2.703,99.243,1.78,5.96,0.0,0.2173,III,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
freeport-smelter-gresik,Freeport Smelter Gresik,-7.161,112.654,3.77,4.8,0.0613,0.1357,III,GlobalWindAtlas-v3,231150.7,9246.0,unconstrained,4.51,0.116,-7.21603,113.09716,49.27
pupuk-kaltim-bontang,Pupuk Kaltim Bontang,0.121,117.5,3.96,4.49,0.077,0.1143,III,GlobalWindAtlas-v3,58349.4,2334.0,unconstrained,4.07,0.0848,0.00763,117.83836,39.68
pupuk-sriwidjaja-palembang,Pupuk Sriwidjaja Palembang,-2.99,104.757,3.67,4.24,0.0536,0.097,III,GlobalWindAtlas-v3,0.0,0.0,unconstrained,,,,,
petrokimia-gresik,Petrokimia Gresik,-7.151,112.651,3.78,4.77,0.0622,0.1341,III,GlobalWindAtlas-v3,236791.6,9471.7,unconstrained,4.51,0.116,-7.2227,113.09417,49.54
