,namobj,wadmpr,wadmkk,almind,klskbli,klskbli_1,koordy,koordx,geometry
4815,"FUJI SEAT INDONESIA, PT",JAWA BARAT,KARAWANG,"JL. MALIGI VIII LOT S-6, KIIC",29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.375714691,107.2674101,POINT (107.2674101 -6.375714691)
4816,"FUJI SPRING INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MALIGI VI LOT.  M - 8B KAWASAN INDUSTRI KIIC,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.374355683,107.276423,POINT (107.276423 -6.374355683)
4817,"FUJI TECHNICA INDONESIA, PT",JAWA BARAT,KARAWANG,KAWASAN INDUSTRI KIIC JL. MALIGI RAYA LOT A-7,28291,INDUSTRI MESIN PERCETAKAN,-6.356995936,107.274268,POINT (107.274268 -6.356995936)
4818,"FUJILLOY INDONESIA, PT",JAWA BARAT,KARAWANG,JL. RAYA MITRA TIMUR II BLOK E NO. 16 KARAWANG INDUSTRIAL MITRA,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.380837433,107.31079,POINT (107.31079 -6.380837433)
4819,"FUJITA INDONESIA, PT",JAWA BARAT,KARAWANG,JL. MALIGI III LOT N - 3A KAWASAN INDUSTRI  KIIC,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.369008154,107.2689033,POINT (107.2689033 -6.369008154)
4820,FUKUYAMA INDONESIA,JAWA BARAT,KARAWANG,SURYA MADYA III KAV I-28P,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.403050799,107.3306893,POINT (107.3306893 -6.403050799)
4821,"FULI SEMITEX JAYA, PT",JAWA BARAT,KARAWANG,"JL. SUROTO KUNTO, WARNA JAYA/ WARUNG BAMBU KARAWANG TIMUR , KARAWANG",13133,INDUSTRI PENCETAKAN KAIN,-6.334696003,107.3280043,POINT (107.3280043 -6.334696003)
4822,"FUMAKILLA NOMOS, PT",JAWA BARAT,KARAWANG,JL. TERUSAN INTERCHANGE ANGGADITA KLARI KARAWANG TIMUR,20299,INDUSTRI BARANG KIMIA LAINNYA YTDL,-6.35699384,107.3407241,POINT (107.3407241 -6.35699384)
4823,"FURUKAWA INDONESIA, PT",JAWA BARAT,KARAWANG,JL. HARAPAN II LOT KK-3B KIIC KARAWANG,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.363626318,107.3016759,POINT (107.3016759 -6.363626318)
4824,"GEMALA KEMPA DAYA, PT",JAWA BARAT,KARAWANG,KAWASAN INDOTAISEI,28113,INDUSTRI KOMPONEN DAN SUKU CADANG MESIN DAN TURBIN,-6.412382227,107.408131,POINT (107.408131 -6.412382227)
4825,GLICO MANUFACTURING INDONESIA,JAWA BARAT,KARAWANG,"JL. INDUSTRI RAYA LOT MM 16 - 18, KAWASAN INDUSTRI KIIC",10710,INDUSTRI PRODUK ROTI DAN KUE,-6.386632687,107.2584389,POINT (107.2584389 -6.386632687)
4826,"GLICO WINGS, PT",JAWA BARAT,KARAWANG,JL. PASIRJATI KALIGANDU WANAKERTA,10531,INDUSTRI PENGOLAHAN ES KRIM,-6.38255534,107.2257365,POINT (107.2257365 -6.38255534)
4827,GLICO-WINGS,JAWA BARAT,KARAWANG,WANAJAYA,10532,INDUSTRI PENGOLAHAN ES SEJENISNYA YANG DAPAT DIMAKAN (BUKAN ES BATU DAN ES BALOK),-6.382557145,107.2257404,POINT (107.2257404 -6.382557145)
4828,"GS BATERY  INDONESIA, PT",JAWA BARAT,KARAWANG,JL. SURYA CIPTA UTAMA BTB 9,30912,INDUSTRI KOMPONEN DAN PERLENGKAPAN SEPEDA MOTOR RODA DUA DAN TIGA,-6.382336079,107.3333227,POINT (107.3333227 -6.382336079)
4829,"HAGIHARA WEST JAVA INDUSTRIES, PT",JAWA BARAT,KARAWANG,JL. MALIGI I BLOK B-I KIIC,17022,INDUSTRI KEMASAN DAN KOTAK DARI KERTAS DAN KARTON,-6.353110937,107.2775219,POINT (107.2775219 -6.353110937)
4830,"HAMATETSU INDONESIA, PT",JAWA BARAT,KARAWANG,JL. PERMATA RAYA LOT B-6A KAWASAN INDUSTRI KIIC KARAWANG,29300,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,-6.358132187,107.2787535,POINT (107.2787535 -6.358132187)
