unit,plant,parent,url,sponsor,capacity_mw,status,region,country,subnational_unit,latitude,longitude,geopoint
Unit 10,Pln Paiton Baru Power Station,Pt Pln (Persero),https://www.gem.wiki/PLN_Paiton_Baru_power_station,,660,Cancelled,Asia,Indonesia,East Java,-7.71103,113.57068,"-7.71103, 113.57068"
"Phase Ii, Unit 2",Pt Halmahera Persada Lygend Nickel Smelter Power Station,Harita Group [63.1%]; Ningbo Lygend [36.9%],https://www.gem.wiki/PT_Halmahera_Persada_Lygend_Nickel_Smelter_power_station,,150,Operating,Asia,Indonesia,Maluku,-1.56143,127.42103,"-1.56143, 127.42103"
Unit 2,Purwakarta Indorama Power Station,Indorama Corp,https://www.gem.wiki/Purwakarta_Indorama_power_station,,30,Operating,Asia,Indonesia,West Java,-6.55392,107.41365,"-6.55392, 107.41365"
Unit 1,Qingdao Zhongsheng Captive Power Station,Qingdao Urban Construction Investment (Group) Co Ltd; Qingdao Xiyuan Holdings Co Ltd; Shandong Taishan Steel Group Co Ltd,https://www.gem.wiki/Qingdao_Zhongsheng_captive_power_station,,65,Operating,Asia,Indonesia,Central Sulawesi,-3.04035,122.26156,"-3.04035, 122.26156"
Unit 2,Riau Kemitraan Power Station,Pt Bukit Asam Tbk; Pt Pln (Persero),https://www.gem.wiki/Riau_Kemitraan_power_station,,600,Cancelled,Asia,Indonesia,Riau,-0.52622,101.969,"-0.52622, 101.969"
Unit 2,Sinar Mas Oki Paper Mill Power Station,Sinar Mas Group,https://www.gem.wiki/Sinar_Mas_OKI_Paper_Mill_power_station,,125,Cancelled,Asia,Indonesia,South Sumatra,-2.758,105.434,"-2.758, 105.434"
Unit 4,Sinar Mas Oki Paper Mill Power Station,Sinar Mas Group,https://www.gem.wiki/Sinar_Mas_OKI_Paper_Mill_power_station,,125,Cancelled,Asia,Indonesia,South Sumatra,-2.758,105.434,"-2.758, 105.434"
Unit 5,Sulawesi Labota Power Station,Indonesia Zhaohui Ferro Nickel Co Ltd,https://www.gem.wiki/Sulawesi_Labota_power_station,,380,Construction,Asia,Indonesia,Central Sulawesi,-2.86899,122.17188,"-2.86899, 122.17188"
Unit 1,Sulawesi Labota Power Station,Walsin Lihwa,https://www.gem.wiki/Sulawesi_Labota_power_station,,350,Construction,Asia,Indonesia,Central Sulawesi,-2.86791,122.17709,"-2.86791, 122.17709"
Unit 2,Sulawesi Labota Power Station,Eternal Tsingshan Group,https://www.gem.wiki/Sulawesi_Labota_power_station,,350,Construction,Asia,Indonesia,Central Sulawesi,-2.86791,122.17709,"-2.86791, 122.17709"
Unit 2,Sulbagsel-2 Power Station,To Be Determined,https://www.gem.wiki/Sulbagsel-2_power_station,,200,Shelved,Asia,Indonesia,South Sulawesi,-3.81445,122.44775,"-3.81445, 122.44775"
Unit 2,Sulut-1 Power Station,Pt Pln (Persero),https://www.gem.wiki/Sulut-1_power_station,,50,Construction,Asia,Indonesia,North Sulawesi,0.89018,123.47011,"0.89018, 123.47011"
Unit 2,Sumbagut (Sibolga Baru) Power Station,Pt Pln (Persero),https://www.gem.wiki/Sumbagut_(Sibolga_Baru)_power_station,,115,Cancelled,Asia,Indonesia,North Sumatra,1.7176,98.7265,"1.7176, 98.7265"
Unit 1,Sumbawa-2 Power Station,To Be Determined,https://www.gem.wiki/Sumbawa-2_power_station,,50,Cancelled,Asia,Indonesia,Empang,-8.74798,117.95765,"-8.74798, 117.95765"
Unit 2,Sumsel-5 Power Station,Datang Overseas Energy Investment Co Ltd [75.0%]; Sinar Mas Group [25.0%],https://www.gem.wiki/Sumsel-5_power_station,,150,Operating,Asia,Indonesia,South Sumatra,-2.15625,103.75527,"-2.15625, 103.75527"
Unit 2,Sumsel-6 Power Station,Pt Bukit Asam Tbk,https://www.gem.wiki/Sumsel-6_power_station,,300,Cancelled,Asia,Indonesia,South Sumatra,-2.35576,103.44339,"-2.35576, 103.44339"
Unit 2,Sumut-1 Power Station,Oceanwide Holdings Co Ltd [60.0%]; Pt Garda Sayap Garuda [20.0%]; Power Construction Corporation Of China Ltd [20.0%],https://www.gem.wiki/Sumut-1_power_station,,150,Construction,Asia,Indonesia,North Sumatra,3.78025,98.63694,"3.78025, 98.63694"
Unit 1,Tabalong Power Station,Pt Adaro Power [65.0%]; Korea Electric Power Corp [35.0%],https://www.gem.wiki/Tabalong_power_station,,100,Operating,Asia,Indonesia,South Kalimantan,-2.16343,115.44081,"-2.16343, 115.44081"
Unit 2,Takalar Power Station,Pt Pln (Persero),https://www.gem.wiki/Takalar_power_station,,100,Operating,Asia,Indonesia,South Sulawesi,-5.62363,119.55082,"-5.62363, 119.55082"
Unit 1,Tanjung Jati A Power Station,Bakrie Power; Pt Tanjung Jati Power,https://www.gem.wiki/Tanjung_Jati_A_power_station,,660,Cancelled,Asia,Indonesia,West Java,-6.76852,108.64519,"-6.76852, 108.64519"
Unit 1,Teluk Sirih Power Station,Pt Pln (Persero),https://www.gem.wiki/Teluk_Sirih_power_station,,112,Operating,Asia,Indonesia,West Sumatra,-1.07655,100.3724,"-1.07655, 100.3724"
Unit 1,Wanxiang Nickel Indonesia Power Station,Pt Wanxiang Steel Indonesia,https://www.gem.wiki/Wanxiang_Nickel_Indonesia_power_station,,65,Operating,Asia,Indonesia,Central Sulawesi,-2.73095,122.03062,"-2.73095, 122.03062"
