annual_production,annual_production_unit,capacity,capacity_unit,cost,cost_unit,country,country_ownership,esg_impact_ecological,esg_impact_social,esg_link,esg_story,id,image,latitude,longitude,parent_esg_impact,parent_project_type,project_id,project_name,project_type,province_city,relevant_links,shareholder_ownership,source,source_id,status
252728,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://terawangnews.com/2021/05/19/timbulkan-kerusakan-lingkungan-walhi-sultra-kecam-pt-ceria-nugraha-indotama/,,4Cbu2WwzcO9amcSqVUIdGo,,-3.85348,121.298,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIdGo,Ceria Nugraha Indotama,Ore Resources: Probable,"Sulawesi Tenggara, Kab. Kolaka",https://koran.tempo.co/read/info-tempo/483838/perusahaan-nikel-milik-anak-bangsa,Cherisha Sakmiwata:49;Derian Sakmiwata:51,indonesia,4Cbu2WwzcO9amcSqVUIdGo,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://terawangnews.com/2021/05/19/timbulkan-kerusakan-lingkungan-walhi-sultra-kecam-pt-ceria-nugraha-indotama/,,4Cbu2WwzcO9amcSqVUIdQI,,-3.878,121.319,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIdQI,Ceria Nugraha Indotama,Ore Resources: Probable,"Sulawesi Tenggara, Kab. Kolaka",https://koran.tempo.co/read/info-tempo/483838/perusahaan-nikel-milik-anak-bangsa,Cherisha Sakmiwata:49;Derian Sakmiwata:51,indonesia,4Cbu2WwzcO9amcSqVUIdQI,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://terawangnews.com/2021/05/19/timbulkan-kerusakan-lingkungan-walhi-sultra-kecam-pt-ceria-nugraha-indotama/,,4Cbu2WwzcO9amcSqVUIdvu,,-3.876,121.28,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIdvu,Ceria Nugraha Indotama,Ore Resources: Probable,"Sulawesi Tenggara, Kab. Kolaka",https://koran.tempo.co/read/info-tempo/483838/perusahaan-nikel-milik-anak-bangsa,Cherisha Sakmiwata:49;Derian Sakmiwata:51,indonesia,4Cbu2WwzcO9amcSqVUIdvu,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://terawangnews.com/2021/05/19/timbulkan-kerusakan-lingkungan-walhi-sultra-kecam-pt-ceria-nugraha-indotama/,,4Cbu2WwzcO9amcSqVUIeEs,,-3.864,121.287,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIeEs,Ceria Nugraha Indotama,Ore Resources: Probable,"Sulawesi Tenggara, Kab. Kolaka",https://koran.tempo.co/read/info-tempo/483838/perusahaan-nikel-milik-anak-bangsa,Cherisha Sakmiwata:49;Derian Sakmiwata:51,indonesia,4Cbu2WwzcO9amcSqVUIeEs,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://terawangnews.com/2021/05/19/timbulkan-kerusakan-lingkungan-walhi-sultra-kecam-pt-ceria-nugraha-indotama/,,4Cbu2WwzcO9amcSqVUIeRW,,-3.852,121.289,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIeRW,Ceria Nugraha Indotama,Ore Resources: Probable,"Sulawesi Tenggara, Kab. Kolaka",https://koran.tempo.co/read/info-tempo/483838/perusahaan-nikel-milik-anak-bangsa,Cherisha Sakmiwata:49;Derian Sakmiwata:51,indonesia,4Cbu2WwzcO9amcSqVUIeRW,Active
,ton,,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://terawangnews.com/2021/05/19/timbulkan-kerusakan-lingkungan-walhi-sultra-kecam-pt-ceria-nugraha-indotama/,,4Cbu2WwzcO9amcSqVUIekU,,-3.843,121.269,ecological,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIekU,Ceria Nugraha Indotama,Ore Resources: Probable,"Sulawesi Tenggara, Kab. Kolaka",https://koran.tempo.co/read/info-tempo/483838/perusahaan-nikel-milik-anak-bangsa,Cherisha Sakmiwata:49;Derian Sakmiwata:51,indonesia,4Cbu2WwzcO9amcSqVUIekU,Active
238000,ton,,ton,-,USD,Indonesia,Indonesia:100,,Land Grabbing;Corruption & Illegal Activity,https://kendari.terkini.id/2021/03/22/pt-akar-mas-internasional-beraktivitas-tanpa-kantogi-ippkh-dan-diduga-menambang-diluar-wilayah-iup/,,4Cbu2WwzcO9amcSqVUIety,,-4.251,121.592,social,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIety,Akar Mas Internasional,Ore Resources: Proved,"Sulawesi Tenggara, Kab. Kolaka",https://kendari.terkini.id/2021/03/22/pt-akar-mas-internasional-beraktivitas-tanpa-kantogi-ippkh-dan-diduga-menambang-diluar-wilayah-iup/;https://www.lajur.co/amankan-rp-17-miliar-setoran-tambang-pt-akar-mas-internasional-kejati-sultra-60-perusahaan-tambang-masih-bandel/,Akar Mas Internasional,indonesia,4Cbu2WwzcO9amcSqVUIety,Active
,ton,27000,ton,-,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://www.mongabay.co.id/2023/05/18/derita-warga-pomalaa-hidup-di-tengah-himpitan-tambang-nikel/,,4Cbu2WwzcO9amcSqVUIf9m,,-4.191074889,121.5980449,ecological,Processing,4Cbu2WwzcO9amcSqVUIf9m,Aneka Tambang (Pomala),Ferro Nickel,"Sulawesi Tenggara, Kolaka",https://antam.com/en/products/nickel,Aneka Tambang:100,indonesia,4Cbu2WwzcO9amcSqVUIf9m,Active
,ton,253000,ton,2200000000,USD,Indonesia,Indonesia:100,Water Pollution;Increased Vulnerability to the Climate Crisis,,https://terawangnews.com/2021/05/19/timbulkan-kerusakan-lingkungan-walhi-sultra-kecam-pt-ceria-nugraha-indotama/,,4Cbu2WwzcO9amcSqVUIg7q,,-3.891829324,121.333296,ecological,Processing,4Cbu2WwzcO9amcSqVUIg7q,Ceria Nugraha Indotama,Ferro Nickel,"Sulawesi Tenggara, Kolaka Regency",https://dpmptsp.kolakakab.go.id/pengawasan-penanaman-modal-ke-pt-ceria-metalindo-prima-oleh-dpmptsp-kabupaten-kolaka,Cherisha Sakmiwata:49;Derian Sakmiwata:51,indonesia,4Cbu2WwzcO9amcSqVUIg7q,Planned
,ton,2000000,ton,-,USD,Indonesia,Indonesia; South Korea,,,,,4Cbu2WwzcO9amcSqVUIh94,,-3.992810958,122.5067669,,Mining & Ore Resources,4Cbu2WwzcO9amcSqVUIh94,Adhi Kartiko Pratama,Mining,"Sulawesi tenggara, Konawe Utara",https://market.bisnis.com/read/20240116/192/1732718/lx-international-resmi-akuisisi-60-saham-adhi-kartiko-nice,LX International Corp,indonesia,4Cbu2WwzcO9amcSqVUIh94,Active
