capacity_mw,country,geopoint,latitude,longitude,parent,plant,region,status,subnational_unit,unit,url
350,Indonesia,"-1.92842,103.18994",-1.92842,103.18994,China Huadian Group Corp [80.0%]; Nusantara Energy Ltd [15.0%]; Pt Pembangunan Perumahan [5.0%],Jambi-2 Power Station,Asia,Shelved,Jambi,Unit 2,https://www.gem.wiki/Jambi-2_power_station
1000,Indonesia,"-7.26,110.66",-7.26,110.66,To Be Determined,Jawa-12 Power Station,Asia,Cancelled,Java,Unit 1,https://www.gem.wiki/Jawa-12_power_station
991,Indonesia,"-5.99169,106.1008",-5.99169,106.1008,China Shenhua Energy Co Ltd [70.0%]; Pt Pln (Persero) [30.0%],Jawa-7 Power Station,Asia,Operating,Banten,Unit 1,https://www.gem.wiki/Jawa-7_power_station
50,Indonesia,"-2.60839,140.80748",-2.60839,140.80748,Pt Pln (Persero),Jayapura-3 Power Station,Asia,Shelved,Papua,,https://www.gem.wiki/Jayapura-3_power_station
50,Indonesia,"-1.56606,127.41593",-1.56606,127.41593,Jinchuan Group,Jinchuan Group Wp&Rka Power Station,Asia,Operating,Maluku,Unit 1,https://www.gem.wiki/Jinchuan_Group_WP%26RKA_power_station
100,Indonesia,"-0.27626,109.27959",-0.27626,109.27959,To Be Determined,Kalbar-2 Power Station,Asia,Cancelled,West Kalimantan,Unit 1,https://www.gem.wiki/Kalbar-2_power_station
200,Indonesia,"-0.67839,109.25354",-0.67839,109.25354,To Be Determined,Kalbar-2 Power Station,Asia,Cancelled,West Kalimantan,Phase Ii,https://www.gem.wiki/Kalbar-2_power_station
100,Indonesia,"0.34199,108.94031",0.34199,108.94031,Pt Pln (Persero),Kalbar-3 Power Station,Asia,Cancelled,West Kalimantan,Unit 1,https://www.gem.wiki/Kalbar-3_power_station
200,Indonesia,"1.227,114.577",1.227,114.577,To Be Determined,Kalbar-4 Power Station,Asia,Cancelled,Kalimantan,,https://www.gem.wiki/Kalbar-4_power_station
100,Indonesia,"1.03413,108.9726",1.03413,108.9726,Pt Barito Pacific Tbk,Kalselteng-4 Power Station,Asia,Cancelled,Central Kalimantan,Unit 2,https://www.gem.wiki/Kalselteng-4_power_station
110,Indonesia,"-1.17036,116.78872",-1.17036,116.78872,Pt Pln (Persero),Kaltim Teluk Balikpapan Power Station,Asia,Operating,East Kalimantan,Unit 2,https://www.gem.wiki/Kaltim_Teluk_Balikpapan_power_station
100,Indonesia,"0.1357,116.22072",0.1357,116.22072,To Be Determined,Kaltim-3 Power Station,Asia,Cancelled,Central Kalimantan,Unit 2,https://www.gem.wiki/Kaltim-3_power_station
200,Indonesia,"1.227,114.577",1.227,114.577,To Be Determined,Kaltim-6 Power Station,Asia,Cancelled,Kalimantan,,https://www.gem.wiki/Kaltim-6_power_station
30,Indonesia,"-2.36618,110.15727",-2.36618,110.15727,China Hongqiao Group; Harita Group,Ketapang Smelter Power Station,Asia,Operating,West Kalimantan,"Phase Ii, Unit 3",https://www.gem.wiki/Ketapang_Smelter_power_station
80,Indonesia,"-2.36618,110.15727",-2.36618,110.15727,China Hongqiao Group; Harita Group,Ketapang Smelter Power Station,Asia,Operating,West Kalimantan,"Phase Ii, Unit 2",https://www.gem.wiki/Ketapang_Smelter_power_station
30,Indonesia,"-4.97647,105.18568",-4.97647,105.18568,Pt Pembangunan Perumahan,Komering Agung Power Station,Asia,Cancelled,South Sumatra,Phase Iii,https://www.gem.wiki/Komering_Agung_Power_Station
350,Indonesia,"3.35064,99.45133",3.35064,99.45133,Pt Bukit Asam Tbk; Pt Indonesia Asahan Aluminium,Kuala Tanjung Inalum Captive Power Station,Asia,Cancelled,North Sumatra,Unit 3,https://www.gem.wiki/Kuala_Tanjung_Inalum_captive_power_station
135,Indonesia,"3.38679,99.4267",3.38679,99.4267,China Power International Development Co Ltd; Oceanwide Holdings Co Ltd; Pt Satya Abadi Semesta,Kuala Tanjung-1 Power Station,Asia,Cancelled,North Sumatra,Unit 2,https://www.gem.wiki/Kuala_Tanjung-1_power_station
100,Indonesia,"3.3754,99.4418",3.3754,99.4418,Medco Energi Internasional Tbk,Lamhotma Power Station,Asia,Cancelled,North Sumatra,Unit 1,https://www.gem.wiki/Lamhotma_power_station
300,Indonesia,"-5.58594,105.38719",-5.58594,105.38719,Pt Pln (Persero),Lampung Sebalang Power Station,Asia,Shelved,Lampung,Unit 3,https://www.gem.wiki/Lampung_Sebalang_power_station
50,Indonesia,"-8.57328,116.35112",-8.57328,116.35112,To Be Determined,Lombok 4 Power Station,Asia,Cancelled,West Nusa Tenggara,Unit 2,https://www.gem.wiki/Lombok_4_power_station
50,Indonesia,"-8.42206,116.70963",-8.42206,116.70963,Pt Pln (Persero),Lombok Ftp2 Power Station,Asia,Construction,West Nusa Tenggara,Unit 2,https://www.gem.wiki/Lombok_FTP2_power_station
225,Indonesia,"-7.07773,113.28709",-7.07773,113.28709,Pt Bukit Asam Tbk,Madura Ptba Power Station,Asia,Cancelled,East Java,Unit 1,https://www.gem.wiki/Madura_PTBA_power_station
60,Indonesia,"-5.88403,106.06422",-5.88403,106.06422,Merak Energi,Merak Power Station,Asia,Operating,Banten,Unit 2,https://www.gem.wiki/Merak_power_station
350,Indonesia,"-4.01278,105.46296",-4.01278,105.46296,China Shenhua Energy Co Ltd,Mesuji Power Station,Asia,Cancelled,Lampung,Unit 2,https://www.gem.wiki/Mesuji_power_station
